Rank,Player,Team,Pos,Efficiency
42,Adnan Hodzic,Lipscomb Bison,C,60.4%
43,Tim Abromaitis,Notre Dame Fighting Irish,F,60.4%
44,Dwayne Collins,Miami-Florida Hurricanes,F,60.4%
45,George Odufuwa,North Texas Mean Green Eagles,F,60.4%
46,Andy Rautins,Syracuse Orange,G,60.3%
47,Austin Freeman,Georgetown Hoyas,G,60.2%
48,Issac Butts,Appalachian St. Mountaineers,C,60.2%
49,Frank Davis,Tennessee Tech Golden Eagles,G,60.1%
50,Trent Hutchin,Southeastern Louisiana Lions,G,59.9%
51,Kurt Cunningham,Boise St. Broncos,C,59.8%
52,Ravern Johnson,Mississippi St. Bulldogs,G,59.8%
53,Ryan Wittman,Cornell Big Red,F,59.8%
54,Jeremy Simmons,Charleston Cougars,F,59.7%
55,Billy White,San Diego St. Aztecs,F,59.6%
56,Mike Tisdale,Illinois Fighting Illini,C,59.4%
57,Denzel Bowles,James Madison Dukes,F,59.4%
58,Adam Templeton,Drake Bulldogs,F,59.3%
59,Gavin Edwards,Connecticut Huskies,F,59.2%
60,Quinn McDowell,William & Mary Tribe,G,59.2%
61,Rick Jackson,Syracuse Orange,F,59.1%
62,Brian Stafford,Denver Pioneers,G,59.1%
63,Papa Oppong,Eastern Kentucky Colonels,G,59.0%
64,Marcus Morris,Kansas Jayhawks,F,59.0%
65,Adam Constantine,Elon University Phoenix,F,58.9%
66,Will Martell,Rhode Island Rams,C,58.9%
67,Carlos Strong,Boston U Terriers,G,58.8%
68,Dominic Calegari,UC Davis Aggies,F,58.8%
69,Cory Johnson,Valparaiso Crusaders,F,58.8%
70,Aaron Thompson,Cal St. Fullerton Titans,F,58.8%
71,Kai Williams,South Dakota State Jackrabbits,F,58.8%
72,Ivan Aska,Murray St. Racers,F,58.8%
73,John Williams,NC-Asheville Bulldogs,F,58.7%
74,Jake Robinson,Western Carolina Catamounts,F,58.7%
75,Theo Robertson,California Golden Bears,F,58.7%
76,Willie Reed,Saint Louis Billikens,F,58.7%
77,Robert Glenn,Indiana - Purdue Jaguars,F,58.6%
78,Josh Taylor,Eastern Kentucky Colonels,F,58.5%
79,Artsiom Parakhouski,Radford Highlanders,C,58.5%
80,Julian Vaughn,Georgetown Hoyas,F,58.4%
81,Jamal Boykin,California Golden Bears,F,58.4%
81,Tavaris Washington,Arkansas-Pine Bluff Golden Lions,G,58.4%
83,Jim Mower,Lafayette Leopards,G,58.4%
84,Ricky McPhee,Georgia Bulldogs,G,58.3%
85,Jamie Jones,Portland St. Vikings,F,58.3%
86,Jarvis Varnado,Mississippi St. Bulldogs,F,58.2%
87,Elias Harris,Gonzaga Bulldogs,F,58.2%
88,Derrick Williams,Arizona Wildcats,F,58.2%
89,Jason Bohannon,Wisconsin Badgers,G,58.1%
90,Candon Rusin,Marist Red Foxes,G,58.1%
91,Darrius Morrow,East Carolina Pirates,F,58.0%
92,Donald Sims,Appalachian St. Mountaineers,G,58.0%
93,Brandon Triche,Syracuse Orange,G,58.0%
94,Bobby Howard,Montana St. Bobcats,F,58.0%
95,Michael Roll,UCLA Bruins,G,58.0%
96,Kyle O'Quinn,Norfolk State Spartans,F,58.0%
97,Noah Dahlman,Wofford Terriers,F,57.9%
98,Hamady Ndiaye,Rutgers Scarlet Knights,C,57.9%
99,Djibril Thiam,Wyoming Cowboys,F,57.8%
100,Jamar Samuels,Kansas St. Wildcats,F,57.8%
