Boston College,32,24,8,75.0,2044.0,63.9,56.9,115.2,824,1771,46.5,524,719,72.9,182,493,36.9,51.7,55.7,40.6,54.5,22.3,23.2,1.15,2354,73.6,53.5,1067,33.3,34.2,357,11.2,72.8,710,22.2,110,3.4,47.7,393,12.3,1.3,8.7,177,5.5,14.8,303,9.5,5.7,92,2.9,589,18.4,10
Boston University,34,10,24,29.4,2277.0,67.0,49.7,100.1,821,1878,43.7,417,592,70.4,221,630,35.1,49.6,52.8,31.5,52.6,18.3,29.1,1.0,2280,67.1,50.7,1168,34.4,29.9,345,10.1,71.5,823,24.2,103,3.0,53.2,437,12.9,0.94,7.7,176,5.2,20.5,466,13.7,5.5,105,3.1,550,16.2,5
Bowling Green,32,20,12,62.5,2161.0,67.5,48.8,95.1,716,1740,41.1,424,650,65.2,199,570,34.9,46.9,50.2,37.4,50.3,20.6,29.1,0.95,2055,64.2,50.4,1138,35.6,30.8,353,11.0,69.9,785,24.5,127,4.0,56.1,402,12.6,0.89,12.4,268,8.4,20.9,451,14.1,6.1,107,3.3,567,17.7,12
Bradley,32,20,12,62.5,2042.0,63.8,50.5,103.5,704,1614,43.6,499,700,71.3,206,631,32.6,50.0,54.3,43.4,47.1,23.6,29.2,1.03,2113,66.0,49.4,1066,33.3,31.1,319,10.0,67.7,747,23.3,73,2.3,56.7,399,12.5,0.97,9.2,187,5.8,20.2,413,12.9,6.2,107,3.3,575,18.0,10
Brigham Young,34,11,23,32.4,2546.0,74.9,50.2,102.9,908,2121,42.8,546,772,70.7,257,751,34.2,48.9,52.6,36.4,49.7,20.8,29.4,1.03,2619,77.0,46.7,1216,35.8,28.3,374,11.0,65.1,842,24.8,125,3.7,54.4,494,14.5,1.14,8.2,209,6.1,17.0,433,12.7,6.7,143,4.2,778,22.9,17
Brown,28,13,15,46.4,1961.0,70.0,48.2,96.0,644,1639,39.3,441,620,71.1,154,525,29.3,44.0,48.7,37.8,52.0,23.4,24.5,0.96,1883,67.3,48.9,1030,36.8,27.8,306,10.9,69.9,724,25.9,104,3.7,50.9,328,11.7,0.99,9.0,177,6.3,16.9,332,11.9,7.3,119,4.3,524,18.7,7
Bryant,32,14,18,43.8,2190.0,68.4,53.3,105.2,819,1888,43.4,423,622,68.0,243,676,35.9,49.8,52.8,32.9,50.0,18.4,31.6,1.05,2304,72.0,52.5,1165,36.4,33.8,402,12.6,71.2,763,23.8,105,3.3,50.7,415,13.0,1.03,9.9,216,6.8,18.4,404,12.6,8.0,143,4.5,585,18.3,13
Bucknell,30,14,16,46.7,1910.0,63.7,49.5,100.6,697,1644,42.4,346,522,66.3,182,537,33.9,47.9,50.8,31.8,53.6,18.0,28.4,1.01,1922,64.1,47.7,953,31.8,24.4,252,8.4,71.0,701,23.4,67,2.2,49.1,342,11.4,1.25,8.7,167,5.6,14.3,274,9.1,8.8,143,4.8,469,15.6,12
Buffalo,28,9,19,32.1,1909.0,68.2,50.4,98.6,670,1582,42.4,388,570,68.1,155,505,30.7,47.3,50.8,36.0,54.7,20.6,24.7,0.99,1883,67.3,48.3,950,33.9,31.5,318,11.4,65.0,632,22.6,100,3.6,51.3,344,12.3,0.91,10.1,192,6.9,19.9,379,13.5,4.7,74,2.6,565,20.2,15
Butler,31,17,14,54.8,2039.0,65.8,50.8,101.2,767,1714,44.7,367,531,69.1,163,529,30.8,49.5,52.5,31.0,58.5,17.8,23.7,1.01,2064,66.6,48.8,1058,34.1,28.4,290,9.4,69.3,768,24.8,92,3.0,49.5,380,12.3,1.04,8.3,169,5.5,17.9,365,11.8,6.3,111,3.6,580,18.7,16
