ID,Median Height,Median Weight,Max Height,Max Weight,Senior Count,Junior Count,Sophomore Count,Freshman Count
M816,76.0,210.0,82,265.0,4,1,4,4
M817,77.0,205.0,80,240.0,2,4,2,2
M818,78.0,210.0,84,230.0,0,3,4,7
M819,75.5,187.5,81,260.0,3,5,4,2
Q629,75.0,205.0,83,270.0,4,4,4,3
Q832,76.0,205.0,81,240.0,4,3,3,5
Q833,76.5,190.0,81,250.0,3,0,7,2
Q830,78.0,205.0,84,239.0,3,3,5,4
Q628,77.0,203.0,82,247.0,4,2,6,5
Q836,77.0,210.0,82,290.0,5,3,4,3
S798,77.0,190.0,81,250.0,3,3,3,4
Q834,75.0,200.0,82,235.0,3,3,2,4
N807,77.0,207.5,81,235.0,2,5,1,6
S795,77.0,195.0,80,240.0,5,3,2,5
S794,77.0,194.5,83,244.0,3,5,5,5
Q838,78.0,205.0,83,230.0,2,3,5,3
Q839,77.0,195.0,84,240.0,5,2,3,4
S791,76.0,189.5,81,235.0,3,5,3,5
S790,78.0,203.0,82,280.0,4,4,4,3
S793,76.0,195.0,82,285.0,0,2,6,5
S792,76.5,192.5,81,245.0,3,7,3,3
P798,76.0,205.0,82,260.0,2,3,4,8
L755,79.0,215.0,83,240.0,2,2,5,5
P799,78.5,205.0,83,270.0,3,4,1,5
L541,77.0,210.0,80,240.0,4,0,1,8
L540,76.0,185.0,81,230.0,2,4,3,2
J718,78.0,192.5,82,260.0,2,1,2,5
J719,77.0,210.0,83,255.0,2,1,6,4
K669,77.0,212.0,83,295.0,3,4,2,4
K668,76.5,205.5,82,265.0,3,3,4,4
L547,78.0,195.0,85,220.0,3,0,5,5
L546,77.0,202.5,81,265.0,2,3,4,5
J712,75.5,202.5,82,255.0,1,3,4,6
J713,77.5,198.5,84,265.0,2,2,3,7
K667,75.0,185.0,82,255.0,1,5,4,3
J711,78.5,203.0,82,275.0,1,3,3,5
J716,76.5,218.0,82,275.0,0,6,5,3
J717,78.0,220.0,83,256.0,2,4,3,4
J714,75.5,207.5,82,260.0,2,4,2,6
J715,76.5,207.5,82,285.0,1,6,4,1
L787,77.0,190.0,84,265.0,4,1,7,5
L786,78.5,211.0,83,258.0,5,2,3,4
L785,77.0,190.0,81,230.0,3,2,6,6
L784,77.0,200.0,81,245.0,1,1,4,7
L783,77.0,195.0,84,250.0,2,2,4,6
L782,76.0,200.0,84,240.0,1,2,5,3
L781,77.0,205.0,85,265.0,3,1,4,3
L780,77.0,205.0,84,270.0,2,5,2,6
K838,77.0,212.5,81,230.0,1,3,5,3
L789,77.0,200.0,84,300.0,2,3,6,2
L788,75.0,190.0,81,257.0,3,2,2,6
O553,77.0,195.0,82,240.0,3,1,3,6
O552,77.0,192.5,83,280.0,0,5,6,3
O551,78.0,215.0,86,260.0,3,4,4,4
O550,76.0,195.0,84,255.0,2,9,4,10
O557,76.5,200.0,84,270.0,5,5,2,4
O556,78.0,205.0,83,250.0,2,6,3,4
O555,76.0,215.0,83,240.0,2,2,6,4
O554,75.5,197.5,81,230.0,3,5,2,4
S799,77.0,207.5,82,245.0,4,1,5,6
O559,78.0,215.0,84,255.0,5,2,2,5
O558,75.0,200.0,84,275.0,3,4,6,6
R527,78.5,205.0,84,275.0,1,2,7,4
O791,77.0,200.0,80,235.0,2,5,1,5
K834,79.0,192.5,82,240.0,0,1,7,6
O793,77.0,205.0,82,290.0,3,4,3,6
O792,75.0,185.0,80,225.0,2,4,4,4
O795,77.0,200.0,80,240.0,1,8,2,2
N808,77.0,200.0,83,250.0,2,9,1,3
O797,76.0,190.0,83,265.0,2,6,1,4
K835,77.0,215.0,80,245.0,2,1,4,6
O799,78.5,207.5,81,260.0,2,8,2,2
O798,76.0,190.0,82,245.0,0,2,4,9
N809,76.5,197.5,88,295.0,4,4,6,18
R520,76.5,201.0,83,269.0,2,5,0,7
I582,78.0,215.0,83,285.0,1,3,3,5
I583,76.0,215.0,82,250.0,2,1,5,3
I580,77.5,205.0,84,255.0,0,5,4,5
I581,78.0,210.0,82,260.0,1,3,3,5
I586,76.5,202.5,81,260.0,2,3,3,4
I587,78.0,202.0,81,240.0,1,3,2,7
I585,76.0,200.0,80,240.0,2,4,3,4
I588,78.0,205.0,84,260.0,2,2,5,6
I589,76.0,197.5,82,250.0,1,4,5,2
P678,76.0,191.0,83,260.0,4,3,2,4
P509,76.0,200.0,83,225.0,3,6,6,2
P508,76.0,195.0,80,235.0,0,5,7,3
P503,77.5,197.5,84,245.0,4,4,3,5
P502,78.0,200.0,82,240.0,4,3,9,7
P505,77.0,195.0,84,250.0,6,2,1,10
P504,76.5,210.0,85,250.0,4,2,4,4
P507,76.0,210.0,82,250.0,2,3,5,4
P506,76.5,189.5,82,270.0,6,7,1,8
R735,77.0,201.0,84,257.0,2,1,6,5
S710,77.5,192.5,83,230.0,2,3,2,5
S809,78.0,220.0,83,310.0,4,1,6,3
S808,76.0,185.0,82,246.0,3,5,4,1
S805,77.0,208.5,82,240.0,5,4,1,3
S804,76.0,198.5,82,245.0,7,3,0,6
S807,78.0,211.0,90,290.0,1,4,6,5
S806,76.0,195.0,81,250.0,3,5,2,4
S801,78.0,210.0,84,260.0,3,2,2,8
S800,76.0,205.0,81,250.0,6,4,0,5
S803,76.0,190.0,79,225.0,7,3,2,7
S802,76.5,205.5,83,275.0,3,1,8,4
K588,77.0,205.0,84,260.0,2,5,4,1
K589,75.0,185.0,81,230.0,5,3,4,3
P517,75.0,193.0,82,236.0,3,4,5,7
K580,76.5,194.5,81,225.0,1,2,5,4
K581,76.0,195.0,82,255.0,2,1,3,7
K582,77.0,205.0,82,245.0,0,1,3,8
K583,76.0,195.0,81,240.0,1,1,7,6
K585,77.5,207.5,82,240.0,5,2,3,4
K586,76.0,195.0,81,250.0,3,1,2,7
K587,77.0,201.0,81,240.0,1,5,1,7
P651,76.0,200.0,82,235.0,1,5,4,5
P650,77.0,215.0,82,250.0,1,4,5,5
P653,78.0,190.0,82,240.0,2,5,4,4
P652,77.0,200.0,82,250.0,2,6,3,6
P655,79.5,207.5,86,286.0,0,5,5,4
P654,78.0,200.0,81,240.0,4,5,2,4
P657,79.0,210.0,81,265.0,4,5,3,1
P659,77.0,190.0,82,270.0,3,2,5,5
P658,78.0,205.0,83,240.0,3,5,3,3
P673,79.0,200.0,83,289.0,2,4,4,7
M698,76.0,190.0,83,270.0,1,5,7,6
Q502,77.0,195.0,82,220.0,3,6,1,11
M699,77.5,200.0,85,237.0,4,1,6,3
O818,77.0,210.0,84,235.0,4,6,4,5
O819,75.0,185.0,83,250.0,5,1,1,6
O816,77.0,200.0,83,255.0,5,6,1,3
O817,76.5,207.5,83,245.0,2,6,7,3
O814,77.0,200.0,86,260.0,1,1,5,8
O815,75.0,200.0,80,240.0,6,1,5,5
O812,74.5,185.0,84,275.0,5,7,2,2
O813,76.5,190.0,84,265.0,2,2,3,5
O810,78.5,197.5,82,248.0,3,2,7,6
O811,78.0,190.5,81,248.0,9,3,1,3
P672,77.0,205.0,83,248.0,5,4,5,3
N538,76.0,190.0,80,240.0,4,3,2,7
N539,77.0,215.0,87,255.0,0,7,3,5
N536,77.5,210.0,83,240.0,3,3,3,5
N537,76.0,200.0,83,255.0,3,5,2,5
N534,77.0,200.0,81,260.0,4,6,2,3
N535,75.5,189.5,81,230.0,0,4,4,6
N532,75.0,190.0,81,240.0,4,5,4,2
N533,76.5,201.5,83,270.0,3,4,2,5
N530,75.5,203.5,84,242.0,4,4,2,6
N531,78.0,210.0,81,235.0,2,3,6,4
N716,77.5,203.0,80,250.0,4,3,4,5
N717,79.5,216.0,83,255.0,4,4,4,0
N714,77.0,205.0,85,290.0,2,5,3,4
N715,77.5,207.5,84,280.0,4,4,3,5
N712,79.0,200.0,83,240.0,3,5,3,2
N713,76.0,210.0,82,250.0,5,2,3,7
N710,76.0,190.0,80,220.0,2,3,5,5
N711,78.0,192.5,82,274.0,4,4,5,1
N718,76.5,220.0,84,255.0,4,3,2,5
N719,77.0,207.5,83,265.0,3,2,3,4
R538,78.0,205.0,81,240.0,3,3,2,6
R539,79.0,221.0,85,265.0,3,4,3,5
S819,74.5,190.5,84,224.0,5,7,2,2
O508,75.5,189.5,80,240.0,1,5,1,9
R533,78.0,208.0,83,238.0,5,3,3,4
R530,75.5,201.0,85,245.0,4,3,6,3
R531,77.0,190.0,81,245.0,3,2,6,2
R536,77.0,195.0,83,260.0,4,2,5,6
R537,75.0,188.0,80,232.0,4,3,5,7
R534,78.0,210.0,81,260.0,2,5,3,3
R535,77.5,191.5,83,243.0,4,2,6,2
I825,77.5,200.0,82,300.0,1,2,4,5
I824,77.5,207.5,80,250.0,1,1,6,6
I827,78.0,228.5,86,261.0,3,4,3,2
I826,78.0,195.0,82,310.0,2,1,4,6
I821,79.0,206.0,84,245.0,2,0,4,5
I820,75.0,195.0,83,240.0,1,2,3,5
I822,78.0,200.0,81,240.0,1,2,4,6
I829,77.0,205.0,84,240.0,2,3,5,4
I828,77.5,202.5,81,260.0,5,5,0,2
O509,76.0,195.0,83,240.0,1,4,4,7
S692,75.0,189.5,81,226.0,2,4,5,9
S664,77.0,196.5,81,250.0,5,3,3,5
S693,78.0,202.0,81,245.0,3,3,3,8
K568,76.0,195.0,81,235.0,7,1,3,4
N662,79.0,207.0,82,263.0,1,3,6,3
N663,79.0,200.0,85,275.0,3,4,5,3
N660,78.0,215.0,84,250.0,4,3,5,1
K569,78.0,210.0,83,298.0,3,3,6,3
N666,78.0,212.0,83,300.0,3,4,1,6
N667,77.0,199.0,80,235.0,1,7,4,2
N664,77.0,195.0,83,285.0,3,3,8,3
N665,77.0,206.0,82,230.0,3,2,3,6
N668,78.5,219.0,81,316.0,4,4,2,4
N669,78.0,213.0,81,265.0,6,1,4,4
L585,78.0,195.0,81,235.0,1,2,2,6
Q503,77.0,207.5,84,235.0,3,3,7,3
K623,77.0,205.0,82,245.0,2,3,2,4
R799,77.0,210.0,82,245.0,1,4,3,5
M759,76.0,190.0,82,240.0,5,5,6,3
K622,76.0,182.5,81,230.0,3,1,6,6
M753,78.0,215.0,82,280.0,0,5,3,5
K625,77.0,214.0,83,268.0,4,2,5,3
M751,77.0,206.5,82,235.0,4,4,1,1
M750,77.0,205.0,84,245.0,5,2,3,3
M757,78.0,193.0,82,230.0,3,4,3,5
M756,76.0,205.0,82,255.0,4,4,5,5
M755,78.0,210.0,83,245.0,2,3,5,3
L580,76.5,197.5,80,250.0,2,2,3,5
J758,78.0,207.5,83,245.0,4,2,4,4
J759,76.0,200.0,80,235.0,0,2,3,8
K567,77.0,200.0,81,235.0,3,1,5,8
J576,76.5,212.5,82,250.0,4,2,4,4
K629,77.0,210.0,83,245.0,1,3,6,5
J574,76.0,192.0,81,243.0,1,6,5,2
J575,75.5,190.0,81,260.0,3,2,7,4
J572,76.5,200.0,83,260.0,1,2,3,6
J573,77.0,215.0,81,295.0,3,1,4,7
J570,77.0,210.0,82,240.0,3,2,2,5
J571,75.0,190.0,81,245.0,1,0,6,10
Q755,77.0,195.0,81,240.0,3,2,6,4
J578,77.0,205.0,82,250.0,3,2,4,4
J579,77.0,190.0,80,230.0,3,2,2,6
R712,77.0,200.0,83,240.0,2,3,4,4
R713,77.0,190.0,82,230.0,6,4,1,4
R710,77.5,195.0,80,235.0,5,2,1,6
Q754,77.0,198.0,83,245.0,2,6,6,2
R716,77.0,202.5,81,240.0,5,5,1,7
R717,80.5,220.0,82,258.0,5,3,1,4
R714,77.5,213.0,82,265.0,4,3,6,3
R715,77.5,205.0,86,275.0,3,3,2,7
L589,78.0,205.0,81,235.0,3,2,2,6
R718,77.0,205.0,83,245.0,2,6,4,3
R719,76.5,197.5,81,303.0,6,7,3,0
J753,77.0,202.5,82,250.0,2,3,6,3
Q698,77.0,200.0,83,310.0,5,6,0,6
Q699,79.0,217.0,82,240.0,2,3,7,1
Q713,75.0,182.5,80,230.0,1,6,4,5
Q712,77.0,206.0,83,240.0,1,4,4,5
Q711,78.5,205.0,82,235.0,4,4,1,5
Q710,76.5,202.5,79,230.0,2,5,2,1
Q717,79.5,221.5,82,265.0,2,5,4,1
Q716,76.0,190.0,82,240.0,2,6,3,6
Q715,77.0,205.0,83,245.0,4,4,2,4
Q714,77.5,205.0,82,250.0,1,4,3,8
Q719,77.0,190.0,82,280.0,1,5,6,2
Q718,76.0,197.5,84,261.0,2,4,3,5
S667,77.0,200.0,83,250.0,7,2,4,4
Q678,76.0,203.5,83,256.0,4,3,3,4
S662,78.5,210.0,81,265.0,1,6,5,4
R798,76.0,210.0,81,240.0,2,7,4,3
M803,77.0,197.5,81,250.0,7,2,3,4
M802,76.5,204.5,84,240.0,3,2,4,3
M801,78.0,205.0,81,265.0,3,2,4,4
M800,77.0,191.0,84,230.0,4,6,3,0
M807,73.0,186.0,80,255.0,3,4,2,2
M806,79.0,195.0,86,285.0,0,6,5,4
M805,77.0,207.0,84,263.0,2,6,3,2
M804,75.0,195.0,83,320.0,5,7,1,2
M809,76.0,205.0,83,250.0,10,4,6,6
M808,76.0,200.0,84,320.0,1,7,4,1
S744,77.0,202.0,84,245.0,3,5,3,5
N678,78.0,210.0,82,242.0,4,1,2,6
Q829,77.5,207.5,83,260.0,0,5,2,5
