Rank,Player,Team,Pos,Efficiency
55,Eli Holman,Detroit Titans,C,60.4%
55,PJ Alawoya,McNeese St. Cowboys,F,60.4%
57,Kevin Parrom,Arizona Wildcats,G,60.4%
58,Marcus Denmon,Missouri Tigers,G,60.3%
59,Doron Lamb,Kentucky Wildcats,G,60.2%
60,Thomas Robinson,Kansas Jayhawks,F,60.1%
61,Tom Fow,Air Force Falcons,F,60.1%
62,Marcus Morris,Kansas Jayhawks,F,60.1%
63,Jereal Scott,Stephen F. Austin Lumberjacks,C,60.0%
64,Andy Ogide,Colorado St. Rams,F,60.0%
65,Kyle Smyth,Iona Gaels,G,59.9%
66,Ian Clark,Belmont Bruins,G,59.8%
67,Scootie Randall,Temple Owls,F,59.8%
68,Kelvin Martin,Charleston Southern Buccaneers,F,59.7%
69,Howard Little,Valparaiso Crusaders,G,59.6%
70,Tommy Freeman,Ohio Bobcats,F,59.5%
71,Mitchell Young,St. Mary's Gaels,F,59.4%
72,Markhuri Sanders-Frison,California Golden Bears,C,59.4%
73,Andrew Smith,Butler Bulldogs,C,59.3%
74,Mike Groselle,Citadel Bulldogs,C,59.3%
75,Vernon Macklin,Florida Gators,C,59.3%
76,Papa Dia,Southern Methodist Mustangs,F,59.3%
77,Mason Plumlee,Duke Blue Devils,F,59.3%
78,Stephen Lumpkins,American U. Eagles,F,59.2%
79,Joel Smith,Northeastern Huskies,G,59.2%
80,Brady Morningstar,Kansas Jayhawks,G,59.2%
81,Reggie Johnson,Miami-Florida Hurricanes,C,59.1%
82,Jordan Hulls,Indiana Hoosiers,G,59.0%
83,Jeff Brooks,Penn St. Nittany Lions,F,59.0%
84,Rick Jackson,Syracuse Orange,F,58.8%
85,Derek Brooks,Air Force Falcons,F,58.8%
86,Festus Ezeli,Vanderbilt Commodores,C,58.8%
87,Ben Hansbrough,Notre Dame Fighting Irish,G,58.6%
88,Reggie Hamilton,Oakland Golden Grizzlies,G,58.6%
89,Nikola Bundalo,SIU - Edwardsville Cougars,C,58.6%
90,Jordan Burgason,Lipscomb Bison,G,58.5%
91,Charles Jenkins,Hofstra Pride,G,58.5%
92,Reggie Jackson,Boston College Eagles,G,58.5%
93,Spencer Johnson,UMKC Kangaroos,F,58.4%
94,Brandon Penn,Rider Broncs,F,58.4%
95,John Jenkins,Vanderbilt Commodores,G,58.4%
96,Keith Rendleman,NC-Wilmington Seahawks,G,58.4%
97,John Shurna,Northwestern Wildcats,F,58.3%
98,Nyika Williams,Pacific Tigers,C,58.3%
99,Quinn McDowell,William & Mary Tribe,G,58.3%
100,Trevor Mbakwe,Minnesota Golden Gophers,F,58.2%
