Team,Player,Height,Weight,Age
Auburn,Rasheem Barrett,77,220,Junior
Auburn,Ryan Brooks,78,215,Sophomore
Auburn,Josh Dollard,79,235,Junior
Auburn,Lucas Hargrove,78,188,Freshman
Auburn,Matt Heramb,81,225,Sophomore
Auburn,Adam Luquire,79,230,Senior
Auburn,Stamatis Makris,72,170,Freshman
Auburn,Quan Prowell,80,215,Senior
Auburn,DeWayne Reed,73,175,Sophomore
Auburn,Austin Riddick,77,188,Freshman
Auburn,Quantez Robertson,75,193,Junior
Auburn,Drew Smith,72,160,Junior
Auburn,Boubacar Sylla,85,270,Freshman
Auburn,Frank Tolbert,76,210,Senior
Auburn,Larry Williams Jr,74,160,Freshman
Austin Peay,Andre Arnold,67,189,Freshman
Austin Peay,Todd Babington,77,200,Senior
Austin Peay,Caleb Brown,72,175,Freshman
Austin Peay,Wesley Channels,75,205,Sophomore
Austin Peay,Kyle Duncan,77,215,Junior
Austin Peay,Ernest Fields,78,210,Sophomore
Austin Peay,John Fraley,80,215,Freshman
Austin Peay,Brandon Harriford,74,180,Senior
Austin Peay,Tomas Janusauskas,84,220,Senior
Austin Peay,Fernandez Lockett,76,210,Senior
Austin Peay,Drake Reed,77,236,Junior
Austin Peay,Duran Roberson,80,210,Sophomore
Austin Peay,Marcel Williams,79,215,Freshman
Austin Peay,Derek Wright,69,165,Senior
Ball State,Othello Banaci,69,185,Freshman
Ball State,Joey Clawson,76,192,Sophomore
Ball State,Laron Frazier,72,170,Junior
Ball State,Rob Giles,76,215,Junior
Ball State,Melvin Goins,69,180,Freshman
Ball State,Dexter Hinkley,78,260,Sophomore
Ball State,Brandon Lampley,72,170,Junior
Ball State,Rashaun McLemore,76,190,Freshman
Ball State,Anthony Newell,77,205,Junior
Ball State,Malik Perry,76,230,Freshman
Ball State,Peyton Stovall,73,190,Senior
Ball State,Deontay Twyman,72,170,Freshman
Baylor,Aaron Bruce,75,185,Senior
Baylor,Tweety Carter,70,180,Sophomore
Baylor,Mamadou Diene,84,250,Junior
Baylor,Henry Dugat,72,170,Junior
Baylor,LaceDarius Dunn,76,205,Freshman
Baylor,Fred Ellis,78,205,Freshman
Baylor,Richard Hurd,77,210,Senior
Baylor,Curtis Jerrells,73,200,Junior
Baylor,Josh Lomers,84,260,Sophomore
Baylor,Kevin Rogers,81,240,Junior
Baylor,Mark Shepherd,81,220,Senior
Baylor,Delbert Simpson,80,220,Junior
Baylor,Djibril Thiam,,0,
Belmont,Stefan Baskin,74,185,Sophomore
Belmont,Keaton Belcher,81,215,Sophomore
Belmont,Jordan Campbell,77,195,Freshman
Belmont,Shane Dansby,76,210,Junior
Belmont,Mike Dejworek,83,235,Sophomore
